127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002882
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000370
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/js/jquery.js, HTTP/1.1, 200, 0.000375
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000727
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/css/calendar.css, HTTP/1.1, 200, 0.003925
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004498
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/js/web2py.js, HTTP/1.1, 200, 0.000879
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/js/calendar.js, HTTP/1.1, 200, 0.006707
127.0.0.1, 2018-10-11 07:22:05, GET, /myr/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.014539
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/default/design/myr, HTTP/1.1, 200, 0.058473
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.000464
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000430
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001602
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.002488
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.001586
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.005767
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.002407
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001845
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.007188
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000810
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002212
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.003238
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003192
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.000408
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000826
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.000324
127.0.0.1, 2018-10-11 07:22:11, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.000874
127.0.0.1, 2018-10-11 07:22:15, GET, /myr/blockchain/log_data, HTTP/1.1, 200, 0.448410
127.0.0.1, 2018-10-11 07:29:39, GET, /myr/blockchain/log_data, HTTP/1.1, 200, 0.437379
127.0.0.1, 2018-10-11 07:29:39, GET, /myr/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000934
127.0.0.1, 2018-10-11 07:29:39, GET, /myr/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001937
127.0.0.1, 2018-10-11 07:29:39, GET, /myr/static/js/web2py.js, HTTP/1.1, 200, 0.002323
